Group,Parent,Number
Alpha Epsilon Pi,Fraternities,21
Alpha Phi Alpha,Fraternities,6
Alpha Tau Omega,Fraternities,49
Beta Theta Pi,Fraternities,88
Chi Phi,Fraternities,16
Delta Chi,Fraternities,64
Delta Phi,Fraternities,45
Kappa Alpha,Fraternities,44
Kappa Alpha Psi,Fraternities,9
Kappa Delta Rho,Fraternities,78
Kappa Sigma,Fraternities,62
Lambda Chi Alpha,Fraternities,0
Omega Psi Phi,Fraternities,4
Phi Beta Sigma,Fraternities,0
Phi Kappa Tau,Fraternities,0
Pi Kappa Alpha,Fraternities,50
Psi Upsilon,Fraternities,0
Sigma Alpha Epsilon,Fraternities,31
Sigma Chi,Fraternities,46
Sigma Phi Epsilon,Fraternities,38
Sigma Pi,Fraternities,51
Theta Delta Chi,Fraternities,0
Alpha Chi Omega,Sororities,87
Alpha Kappa Alpha,Sororities,26
Chi Omega,Sororities,104
Delta Delta Delta,Sororities,104
Delta Gamma,Sororities,105
Delta Sigma Theta,Sororities,10
Gamma Phi Beta,Sororities,107
Kappa Alpha Theta,Sororities,107
Kappa Delta,Sororities,105
Kappa Kappa Gamma,Sororities,97
Phi Mu,Sororities,0
Pi Beta Phi,Sororities,97
Sigma Gamma Rho,Sororities,2
Sigma Iota Alpha,Sororities,11
Zeta Phi Beta,Sororities,2
Independent,Indie,5000
