Time,Average Female GPA,Average Male GPA,All Undergrad GPA,Average Sorority GPA,Average Fraternity GPA,All Greek GPA
Spring 2005,3.33,3.13,3.24,3.31,3.06,3.21
Fall 2005,3.27,3.09,3.19,3.25,3.02,3.16
Spring 2006,3.34,3.14,3.25,3.36,3.11,3.24
Fall 2006,3.29,3.09,3.19,3.2641,3.0495,3.15
Spring 2007,3.35,3.15,3.26,3.2545,3.1077,3.1916
Fall 2007,3.2835,3.0983,3.1985,3.2616,3.0271,3.1667
Spring 2008,3.34,3.17,3.26,3.319713,3.128612,3.2341
Fall 2008,3.26,3.11,3.19,3.24537,3.08622,3.1757
Spring 2009,3.33,3.17,3.26,3.341488,3.1503,3.2515
Fall 2009,3.26,3.1,3.19,3.2575,3.0919,3.1909
Spring 2010,3.29,3.16,3.23,3.3109,3.1914,3.2593
Fall 2010,3.27,3.11,3.2,3.2537,3.0918,3.1845
Spring 2011,3.33,3.17,3.26,3.3233,3.1705,3.196
Fall 2011,3.29,3.17,3.23,3.28,3.18,3.24
Spring 2012,3.33,3.2,3.28,3.3636,3.2339,3.3038
Fall 2012,3.28,3.13,3.21,3.2635,3.17,3.2233
Spring 2013,3.36,3.19,3.28,3.3917,3.2354,3.3241
Fall 2013,3.32,3.18,3.25,3.3041,3.1725,3.25
Spring 2014,3.37,3.21,3.3,3.39,3.24,3.32
