Time,Alpha Epsilon Pi,Alpha Phi Alpha,Alpha Tau Omega,Beta Theta Pi,Chi Phi,Delta Chi,Delta Phi,Kappa Alpha,Kappa Alpha Psi,Kappa Delta Rho,Kappa Sigma,Lambda Chi Alpha,Omega Psi Phi,Phi Beta Sigma,Phi Kappa Tau,Pi Kappa Alpha,Psi Upsilon,Sigma Alpha Epsilon,Sigma Chi,Sigma Phi Epsilon,Sigma Pi,Theta Delta Chi
Spring 2005,3.44,2.85,,3.17,,3.13,3.12,3.2,,3.04,2.99,2.93,,,3.08,2.89,3.18,,3.02,,2.93,3.16
Fall 2005,3.43,2.98,,3.11,,3.04,3.01,2.96,,2.92,2.99,2.96,,,3.06,2.96,3.02,,2.83,,2.86,3.18
Spring 2006,3.38,2.94,,3.25,,3.19,3.23,3.07,,3.18,3.18,2.94,,,3.11,3.01,,,2.96,,3.03,3.29
Fall 2006,3.25,2.5137,3.4857,3.2449,,3.3585,3.1533,2.9908,,2.974,3.0398,2.8181,,,3.134,2.8092,,,2.9769,,2.9437,3.1887
Spring 2007,3.177,2.6852,2.9209,3.3037,3.2822,3.3288,2.9774,3.1854,,3.0247,3.0512,3.1297,,,3.2678,3.0555,,,2.8919,,3.0772,3.1253
Fall 2007,3.087,2.8128,2.9603,3.2492,3.0692,2.8769,3.2344,2.9929,,3.044,3.0819,3.0693,,,3.1215,2.7367,,,2.898,,2.9188,2.9653
Spring 2008,3.2414,2.8753,3.0372,3.3111,3.1476,3.1747,3.1475,3.1555,,3.1153,3.1998,3.1091,,2.5236,3.364,2.8178,,,3.0148,,3.0068,3.1084
Fall 2008,3.332,2.9204,3.2251,3.2785,3.2123,3.134,3.1701,3.1357,,3.0152,3.024,3.0855,,2.2779,3.1401,2.6914,,2.5931,3.1831,,2.8857,3.0912
Spring 2009,3.3849,3.0795,3.23,3.3524,3.299,3.1732,3.2081,3.1442,,3.0517,3.2475,3.0825,,2.9771,3.2024,2.8186,,2.4167,3.1191,,2.9079,3.0353
Fall 2009,3.2359,3.1697,3.3167,3.2258,3.3564,3.0891,3.2369,3.1732,,3.0182,3.101,2.9471,,2.3735,3.0369,2.7219,,2.7165,3.0714,,2.9712,3.1784
Spring 2010,3.3702,3.433,3.3002,3.2396,3.213,3.2137,3.2328,3.2579,,3.0518,3.2282,3.0357,,2.8465,3.2949,2.9665,,3.0619,3.1732,,3.3034,3.1972
Fall 2010,3.1956,3.0759,3.379,3.1761,2.8675,3.0116,3.2385,3.0582,,3.0675,3.1827,2.9889,1.3436,3.02,3.1659,2.9384,,3.0608,3.1605,3.3325,2.9839,2.8767
Spring 2011,3.1235,3.2275,3.3492,3.294,3.0657,3.04,3.3232,3.2015,,3.1607,3.23,3.0902,2.0739,2.5418,3.2149,3.0158,,3.0604,3.1613,3.4612,3.0719,3.0097
Fall 2011,3.3365,3.0797,3.2557,3.28,3.1728,3.2374,3.2564,3.0775,3.2123,3.0696,3.3246,3.0551,2.3214,3.3067,3.1746,3.0455,,3.1256,3.2367,3.3253,3.1249,3.1136
Spring 2012,3.3752,2.625,3.2617,3.4581,2.8394,3.2844,3.2782,3.1867,3.0123,3.1893,3.3433,3.0957,,,,3.0501,,3.2621,3.2512,3.3739,3.2023,3.0667
Fall 2012,3.2987,2.9319,3.3058,3.3442,3.2837,3.0746,3.2193,3.0225,2.5456,3.1527,3.2144,3.0071,,,,2.8924,,3.3368,3.1932,3.3234,3.296,
Spring 2013,3.1997,2.804,3.4049,3.2796,3.1236,3.167,3.266,3.1986,2.6287,3.3268,3.2043,,,,,3.0938,,3.1584,3.2263,3.2897,3.3829,
Fall 2013,3.3617,2.1794,3.3255,3.2318,3.0101,3.2532,3.1073,3.0133,2.0917,3.255,3.2097,,,,,3.0815,,3.1238,3.1309,3.2603,3.219,
Spring 2014,3.3697,2.2333,3.3609,3.3192,3.2467,3.2125,3.2187,3.0528,2.4935,3.262,3.2242,,2.8,,,3.1986,,3.0137,3.4216,3.2116,3.3378,
