Fraternities,Spring 2005,Fall 2005,Spring 2006,Fall 2006,Spring 2007,Fall 2007,Spring 2008,Fall 2008,Spring 2009,Fall 2009,Spring 2010,Fall 2010,Spring 2011,Fall 2011,Spring 2012,Fall 2012,Spring 2013,Fall 2013,Spring 2014
Alpha Epsilon Pi,14,13,12,12,12,12,12,13,14,13,14,13,14,13,13,13,13,13,13
Alpha Phi Alpha,15,15,14,15,16,16,17,17,17,16,17,18,18,19,17,17,16,16,16
Alpha Tau Omega,,,,14,13,14,14,11,10,10,11,11,8,4,7,7,6,7,7
Beta Theta Pi,9,7,8,8,4,1,1,2,1,1,3,2,1,1,2,2,2,1,1
Chi Phi,,,,,14,13,13,15,15,15,14,14,13,17,15,15,14,14,14
Delta Chi,11,14,13,13,15,15,15,13,12,8,12,8,6,7,7,6,4,4,3
Delta Phi,7,12,11,11,11,11,10,12,11,14,9,12,11,10,9,10,8,7,9
Kappa Alpha,8,10,10,9,9,9,8,3,5,7,6,9,9,11,9,8,7,9,10
Kappa Alpha Psi,,,,,,,,,,,,,,18,18,16,15,15,15
Kappa Delta Rho,4,6,5,3,7,6,4,6,5,4,4,4,3,3,3,3,3,2,2
Kappa Sigma,13,8,9,5,4,4,2,1,2,3,1,1,2,6,4,5,5,5,4
Lambda Chi Alpha,5,5,1,6,6,4,6,10,3,6,6,5,9,5,6,9,,,
Omega Psi Phi,,,,,,,,,,,,18,19,20,19,18,,,17
Phi Beta Sigma,,,,,,,16,16,16,18,17,20,20,21,,,,,
Phi Kappa Tau,3,1,2,2,2,1,2,8,7,11,8,5,6,9,,,,,
Pi Kappa Alpha,5,4,7,9,10,8,8,7,9,5,5,7,5,8,5,4,10,10,6
Psi Upsilon,12,11,,,,,,,,,,,,,,,,,
Sigma Alpha Epsilon,,,,,,,,17,18,16,16,16,16,14,12,12,11,12,12
Sigma Chi,1,3,4,1,1,1,5,3,4,2,2,3,4,2,1,1,1,2,8
Sigma Phi Epsilon,,,,,,,,,,,,17,17,16,14,14,12,11,11
Sigma Pi,2,2,3,3,8,6,7,5,12,11,12,10,12,12,11,11,9,6,5
Theta Delta Chi,9,9,6,6,3,10,10,8,8,9,10,15,15,15,15,,,,
